Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Price to Earning,Debt to equity,Return on equity,Return on invested capital,EVEBITDA,Sales,Sales growth 5Years,Profit after tax,Profit growth 5Years,Operating profit,NPM last year,Reserves,Debt,Capital work in progress,Inventory,Trade receivables,Total Assets,Cash from operations last year,Free cash flow last year,Free cash flow 3years,Free cash flow 5years,Promoter holding,Pledged percentage,Dividend yield,Change in DII holding 3Years,Change in FII holding 3Years,Return over 1year,Return over 3years,Return over 5years,Return over 7years,Return over 10years,DMA 50,DMA 200
Aditya Vision,540205,AVL,Trading,414.35,5331.17,50.54,0.82,19.71,12.61,26.86,2259.77,23.18,105.49,49.72,204.06,4.67,570.79,480.41,6.25,698.16,0.31,1223.43,-40.82,-77.86,-129.62,-115.48,53.23,0.00,0.22,9.87,16.64,29.51,77.57,199.60,76.76,,429.67,437.05
Affle 3i,542752,AFFLE,Computers - Software - Medium / Small,1676.00,23547.17,61.68,0.03,14.03,13.30,38.54,2266.31,46.68,381.87,42.26,483.16,16.85,2918.39,82.10,0.00,0.00,298.56,3621.77,425.99,266.11,580.90,766.85,55.02,0.00,0.00,8.94,0.69,41.15,21.41,40.35,,,1599.80,1533.97
Ami Organics,543349,AMIORG,Pharmaceuticals - Indian - Bulk Drugs,1187.75,9724.01,61.25,0.01,16.00,14.13,38.10,1006.88,33.26,158.71,41.40,232.07,15.93,1268.69,12.93,130.28,179.94,290.49,1549.26,118.34,-76.30,-262.35,-384.65,35.96,0.00,0.13,12.68,14.25,91.38,39.80,,,,1152.63,1018.04
Anand Rathi Wea.,543415,ANANDRATHI,Finance & Investments,1937.55,16085.64,53.64,0.12,45.33,58.16,36.49,939.09,22.85,299.83,37.33,400.24,32.03,632.46,79.30,0.00,0.00,35.45,961.36,244.05,208.28,552.86,662.88,47.29,4.32,0.54,-2.81,3.83,-6.04,81.68,,,,1807.18,1843.64
Artemis Medicare,542919,ARTEMISMED,Healthcare,278.60,3870.66,46.37,0.33,12.91,9.82,20.56,913.26,10.15,83.46,32.43,149.83,9.14,828.04,280.49,38.72,9.33,92.86,1343.11,139.08,46.23,77.35,33.75,67.17,44.53,0.16,3.94,0.31,57.46,87.93,77.86,,,261.50,262.56
Bajaj Finance,500034,BAJFINANCE,Finance & Investments,9218.00,572832.92,34.37,3.74,19.19,11.29,19.29,69683.51,21.45,16637.82,25.87,47672.33,24.08,96568.70,361248.65,26.74,0.00,1913.11,466126.83,-68154.47,-69199.90,-185929.23,-224739.53,54.73,0.00,0.48,3.56,0.04,33.43,15.23,36.24,23.28,36.06,8882.22,7998.77
Bharti Airtel,532454,BHARTIARTL,Telecommunications - Service Provider,1856.00,1113191.64,40.18,1.88,28.34,15.68,13.31,172985.20,14.59,27731.02,30.58,93159.20,17.91,110771.80,213642.10,10596.20,451.70,7455.70,514360.40,98332.20,58990.50,136834.60,186921.50,52.42,0.00,0.43,-0.27,6.05,34.48,39.15,27.73,27.39,17.00,1791.61,1636.05
Bharti Hexacom,544162,BHARTIHEXA,Telecommunications - Service Provider,1823.00,91150.00,67.99,1.24,25.35,16.49,22.49,8547.90,17.15,1339.92,35.29,4197.20,15.68,5682.10,7352.80,297.30,0.00,108.30,19251.00,4582.60,3104.30,8772.00,8760.20,70.00,0.00,0.23,,,74.85,,,,,1586.74,1392.90
Bikaji Foods,543653,BIKAJI,Food - Processing - Indian,736.80,18463.65,95.01,0.17,14.94,12.76,51.16,2621.85,19.53,194.35,27.88,328.25,7.41,1358.13,230.94,95.74,107.94,100.88,1936.72,193.46,72.48,276.45,269.54,74.92,0.00,0.14,,,32.22,,,,,703.05,709.69
BLS Internat.,540073,BLS,Computers - Software - Medium / Small,414.45,17064.59,33.56,0.21,34.59,26.98,23.50,2193.30,22.78,508.23,45.99,629.34,24.60,1689.66,359.06,10.75,0.49,121.74,2805.76,828.83,667.62,1146.54,1290.06,70.38,0.00,0.24,2.26,8.58,28.20,62.65,120.78,35.86,,382.15,386.40
BSE,,BSE,Miscellaneous,2407.00,97755.26,74.23,0.00,34.09,43.35,49.74,3212.04,39.61,1317.06,64.09,1754.39,41.00,4396.66,0.02,40.73,0.00,309.67,10341.65,410.15,257.77,2688.06,3992.26,0.00,0.00,0.25,-1.46,16.78,166.86,120.85,124.68,59.33,,2099.62,1656.19
Camlin Fine,532834,CAMLINFINE,Chemicals,246.20,4626.63,103.46,0.76,5.06,11.14,23.11,1666.53,9.70,44.73,8.44,208.12,3.05,882.88,681.30,9.73,526.86,328.22,2023.79,26.72,-15.73,-29.28,-64.04,49.10,10.84,0.00,-10.64,-9.03,165.40,28.48,43.82,15.75,10.02,173.37,142.72
Caplin Point Lab,524742,CAPLIPOINT,Pharmaceuticals - Indian - Formulations,2165.85,16462.99,30.70,0.00,21.67,22.76,21.36,1937.47,17.55,536.31,20.49,646.92,27.93,2835.29,5.02,139.22,336.10,632.49,3208.58,432.37,240.85,491.32,932.15,70.56,0.00,0.23,0.75,3.66,68.35,43.65,46.65,23.24,27.59,2008.49,1935.68
CEAT,500878,CEATLTD,Tyres,3765.45,15231.27,30.89,0.49,11.72,10.56,11.61,13217.87,14.29,492.79,14.63,1474.14,3.73,4328.08,2136.38,506.61,1411.53,1653.31,11212.39,1091.96,149.39,1329.44,1715.51,47.21,0.00,0.80,9.84,-7.38,56.26,54.63,35.77,15.30,17.01,3329.85,2972.12
CG Power & Ind,500093,CGPOWER,Electric Equipment,694.30,106160.23,109.07,0.01,28.36,26.81,71.54,9908.66,14.16,972.98,33.93,1304.73,9.82,3538.17,40.97,355.18,1136.71,2009.20,7417.07,944.42,518.99,1558.26,1714.34,58.06,0.00,0.19,8.30,-0.26,10.37,59.89,158.66,36.97,29.84,645.20,647.11
Choice Intl.,531358,CHOICEIN,Finance & Investments,711.90,14213.47,90.75,0.45,18.87,18.87,47.94,910.38,47.11,156.54,65.92,284.59,17.87,827.78,462.93,1.35,19.49,274.63,2619.32,-294.46,-344.12,-416.85,-500.62,58.13,13.84,0.00,0.16,6.45,107.78,101.19,100.48,60.51,60.67,604.21,509.59
Cholaman.Inv.&Fn,511243,CHOLAFIN,Finance & Investments,1663.90,139937.80,32.85,7.40,19.71,10.34,16.53,25845.98,24.29,4262.70,32.25,18174.03,16.49,23500.44,175036.00,3.69,0.00,204.19,201886.76,-32413.15,-32599.82,-96646.12,-111191.08,49.92,0.00,0.12,-7.51,10.62,32.19,36.36,63.69,27.23,30.55,1536.44,1408.76
Coforge,532541,COFORGE,Computers - Software - Medium / Small,8485.40,56754.76,67.90,0.17,16.71,11.85,30.64,12050.70,23.56,835.87,13.60,1693.70,8.00,6312.30,1070.40,2.40,0.00,2577.10,12490.70,1237.10,679.90,2120.30,3425.00,0.00,0.00,0.90,24.25,17.81,64.38,32.08,42.26,34.04,36.32,7807.06,7541.70
Craftsman Auto,543276,CRAFTSMAN,Auto Ancillaries,5748.25,13712.77,64.60,0.83,9.40,8.14,18.57,5690.48,30.69,212.20,36.87,832.71,3.85,2844.81,2358.18,345.26,1332.05,920.59,7116.44,283.33,-705.97,-552.68,-169.47,48.70,0.00,0.20,7.90,12.09,34.20,36.79,,,,4946.92,4917.08
Deepak Fertiliz.,500645,DEEPAKFERT,Chemicals,1384.00,17471.31,18.72,0.67,16.03,15.55,10.56,10274.42,17.00,933.59,95.26,1924.72,9.19,6110.38,4152.37,1403.66,1068.80,1617.21,13147.62,1879.66,763.09,-46.69,1188.97,45.63,0.00,0.62,9.77,-3.56,148.26,28.54,68.57,22.23,26.98,1255.31,1113.92
Dhanuka Agritech,507717,DHANUKA,Pesticides / Agrochemicals - Indian,1685.20,7680.88,25.88,0.05,22.34,22.26,17.13,2035.15,12.69,296.96,16.12,416.61,14.59,1393.71,74.23,8.51,398.74,459.15,1800.11,262.66,73.50,156.20,421.11,70.32,0.00,0.84,0.56,-1.48,33.35,33.69,23.90,16.56,9.90,1410.53,1400.42
Dodla Dairy,543306,DODLA,Food - Processing - Indian,1194.65,7207.06,27.73,0.03,20.43,18.31,16.47,3720.07,11.70,259.93,39.54,380.83,6.99,1345.62,42.43,11.87,161.72,12.32,1730.66,519.79,411.86,363.20,653.09,59.69,0.00,0.25,2.30,6.01,35.52,34.77,,,,1120.62,1111.82
Doms Industries,544045,DOMS,Printing & Stationery,2399.00,14558.83,71.94,0.21,22.27,18.96,39.20,1912.63,23.94,202.34,41.21,348.44,11.16,942.12,211.77,60.29,294.04,134.32,1519.62,183.33,-29.71,37.55,45.51,70.39,0.00,0.10,,,25.49,,,,,2706.89,2572.99
eClerx Services,532927,ECLERX,Computers - Software - Medium / Small,3512.25,17218.94,31.79,0.16,23.77,21.90,18.82,3365.87,18.55,541.09,20.96,808.08,16.08,2258.80,358.13,0.19,0.23,495.42,3145.67,654.62,539.49,1403.64,2112.93,53.81,0.00,0.03,5.78,-3.71,56.24,35.49,66.75,21.51,15.74,2874.12,2872.89
Eicher Motors,505200,EICHERMOT,Automobiles - Motorcycles / Mopeds,5378.00,147492.85,31.16,0.02,24.07,71.39,21.99,18870.35,15.57,4734.44,20.95,4712.03,25.09,21269.07,458.13,110.30,1563.75,549.64,27174.41,3979.92,2951.45,8009.75,10074.12,49.08,0.00,0.95,6.60,-4.20,12.96,25.26,26.64,8.66,11.05,5380.26,5035.68
ERIS Lifescience,540596,ERIS,Pharmaceuticals - Indian - Formulations,1581.00,21530.84,61.21,0.87,12.93,9.44,22.97,2893.64,21.92,351.84,3.80,1017.20,12.95,2840.74,2477.92,0.00,334.83,458.64,7033.17,1065.01,910.38,717.69,1325.32,54.85,18.51,0.47,7.57,-4.88,74.32,31.42,25.73,10.26,,1424.93,1303.79
Ethos Ltd,543532,ETHOSLTD,Trading,2782.50,6811.68,70.73,0.29,10.32,9.58,32.38,1251.63,22.28,96.29,120.08,188.21,7.69,957.72,288.72,30.57,592.67,18.26,1409.65,-20.29,-93.67,-152.12,-105.01,50.58,0.00,0.00,,,15.82,,,,,2626.00,2678.66
Eureka Forbes,543482,EUREKAFORB,Domestic Appliances,637.80,12334.49,77.31,0.01,3.72,3.10,43.81,2436.06,172.07,159.57,182.93,262.89,6.55,4191.49,25.55,0.00,243.14,179.89,6309.64,225.50,170.11,499.61,532.86,62.56,53.66,0.00,6.33,1.00,49.83,27.94,,,,545.29,533.29
FDC,531599,FDC,Pharmaceuticals - Indian - Bulk Drugs & Formln,457.80,7453.47,27.19,0.01,14.16,29.36,17.60,2078.26,12.28,274.40,11.45,319.75,14.87,2275.45,20.12,143.23,322.85,173.45,2688.08,220.77,151.28,232.57,627.57,69.66,0.00,1.08,0.51,-1.96,-1.29,23.21,13.10,9.59,11.50,435.03,455.03
Fiem Industries,532768,FIEMIND,Auto Ancillaries,1605.00,4224.30,21.97,0.02,20.10,18.47,12.36,2340.72,6.96,192.30,24.41,311.77,8.16,905.94,22.63,28.98,230.99,247.34,1324.99,134.88,51.05,200.00,476.21,58.96,0.00,1.26,6.84,-7.79,33.03,51.74,61.74,20.67,18.37,1495.99,1438.31
Havells India,517354,HAVELLS,Electric Equipment,1554.70,97470.65,65.79,0.04,18.79,17.39,38.10,21778.06,18.20,1481.39,14.87,2174.73,6.80,8261.10,318.54,118.19,4046.85,1258.33,13809.41,1515.29,761.53,1931.57,3913.59,59.41,0.00,0.65,4.48,-2.13,-16.60,10.01,25.95,15.95,19.02,1564.27,1613.82
Health.Global,539787,HCG,Healthcare,544.35,7589.07,170.87,1.99,5.08,6.72,21.47,2222.85,15.27,44.41,19.29,387.28,2.20,783.03,1837.22,24.76,53.02,400.90,3543.24,317.11,109.78,336.29,571.13,71.22,4.99,0.00,6.62,-4.55,47.81,24.59,39.66,9.04,,558.91,492.91
Hitachi Energy,543187,POWERINDIA,Electric Equipment,17911.85,79837.35,207.94,0.02,13.78,10.45,116.57,6384.93,14.56,383.98,14.52,595.81,6.01,4205.19,88.45,90.19,925.71,2109.58,8613.32,1493.77,1365.52,1522.29,1747.31,71.31,0.00,0.02,10.84,0.25,65.78,74.56,84.14,,,14396.30,12647.57
ICICI Bank,532174,ICICIBANK,Banks - Private Sector,1451.95,1035404.24,20.28,5.97,17.97,7.88,17.15,186331.47,17.04,51029.20,39.77,53625.73,29.29,310411.47,1860520.84,0.00,0.00,0.00,2642241.41,122805.26,118099.87,265824.24,458532.39,0.00,0.00,0.69,0.19,1.88,28.35,25.04,34.23,26.12,17.50,1385.56,1285.06
Indian Hotels Co,500850,INDHOTEL,Hotels,766.60,109120.30,64.54,0.28,16.40,14.26,36.68,8334.54,13.30,1690.56,43.26,2769.33,21.67,11018.37,3084.27,575.81,135.47,650.88,17703.93,2194.37,1132.72,3626.09,3506.78,38.12,0.00,0.30,-9.46,10.93,34.69,50.75,60.10,27.65,23.61,779.61,739.07
Interarch Build.,544232,INTERARCH,Steel - Medium / Small,2156.00,3587.65,33.27,0.03,18.03,17.08,21.73,1453.83,15.11,107.83,22.36,136.24,7.42,734.78,19.88,13.46,165.73,210.96,1114.02,53.56,-12.04,62.53,118.59,59.90,0.00,0.00,,,,,,,,1725.26,1546.63
Interglobe Aviat,539448,INDIGO,Transport - Airlines,5319.60,205570.25,28.35,7.21,129.08,15.13,11.91,80803.00,17.71,7253.30,58.82,18006.20,8.98,8920.40,67088.40,0.70,820.30,739.80,115913.90,24064.70,22846.50,55208.38,54893.52,49.27,0.00,0.00,15.18,7.42,26.60,42.87,40.65,23.12,,5208.76,4631.40
ITC,500875,ITC,Cigarettes,421.65,527657.87,26.56,0.00,27.48,43.63,18.31,75323.34,8.81,19861.64,5.16,25978.21,26.60,68778.64,284.54,1087.60,15637.56,4719.67,88090.68,17627.04,15523.76,45431.30,69891.13,0.00,0.00,3.44,2.42,27.88,7.90,19.80,18.59,7.90,7.82,426.54,429.78
